provinsi,pengeluaran,miskin,penduduk
ACEH,32006026.32,804.53,4053274
SUMATERA UTARA,140471509.4,1228.01,11379312
SUMATERA BARAT,42841871.32,345.73,4381225
RIAU,92718626.06,492.25,4901469
JAMBI,32453784.93,265.42,2766571
SUMATERA SELATAN,99050661.25,984.24,6532328
BENGKULU,15030563.18,281.36,1573688
LAMPUNG,73577353.24,941.23,7053575
KEP. BANGKA BELITUNG,15002605.45,69.95,1158553
KEP. RIAU,36264864.07,138.3,1605851
DKI JAKARTA,554434915.3,464.93,8339082
JAWA BARAT,453409884.6,3848.67,38426026
JAWA TENGAH,269909293.1,3704.33,29559766
DI YOGYAKARTA,29223210.06,445.55,3012983
JAWA TIMUR,468937002.9,3982.69,33059069
BANTEN,110470526.7,791.61,9315260
BALI,38369093.84,184.43,3506930
NUSA TENGGARA BARAT,25585606.64,709.01,4097069
NUSA TENGGARA TIMUR,21817748.42,1127.57,3986990
KALIMANTAN BARAT,35337113.76,336.08,4242849
KALIMANTAN TENGAH,20413069.93,145.63,2111635
KALIMANTAN SELATAN,29438324.7,183.31,3139067
KALIMANTAN TIMUR,35971174.5,221.34,3030406
KALIMANTAN UTARA,5106732.5,47.83,555547
SULAWESI UTARA,19626295.84,186.86,2089734
SULAWESI TENGAH,25608865.05,379.76,2298593
SULAWESI SELATAN,94255836,736.48,7197866
SULAWESI TENGGARA,21085588.74,319.71,2010288
GORONTALO,8278771.33,177.99,927022
SULAWESI BARAT,7681686.34,162.19,1079582
MALUKU,10469037.95,297.68,1443383
MALUKU UTARA,7011785.45,83.09,986900
PAPUA BARAT,3377349.07,110.16,423656
PAPUA BARAT DAYA,4219241.32,102.27,465828
PAPUA,11458825.88,152.91,713336
PAPUA SELATAN,5986409.66,92.2,327939
PAPUA TENGAH,9177321.51,308.48,1091275
PAPUA PEGUNUNGAN,5347529.82,365.44,1153918
